rms,kurtosis,peak,crest_factor,skewness,std_dev,peak_to_peak,fft_peak,spectral_centroid,band_energy_ratio,envelope_spectrum_peak,entropy,segment,day,severity,health_indicator
2.2945984628870244,-0.007098974972482797,11.28767872,4.919239205711851,0.0028474425838182,2.267945165277098,20.17366219,34054.76761342,15869.127977122795,2.2426524578323606,4701.720791583724,3.1463304358923203,0,1,0.0,0.011967227400829105
2.2886647251847756,0.016414972333358424,10.40038204,4.544301279935323,-0.003470432549503934,2.2625300713472036,19.760999679999998,33679.8400044,16015.537818709932,2.3514018868117685,4620.735304758787,3.1645152978204534,1,1,0.0,0.011967227400829105
2.3025032921751993,-0.019697914180951237,10.04849815,4.364162337638648,-0.0024935683788659953,2.2765584017975766,18.696684830000002,33659.92151643,15887.686676298285,1.58849129993984,5580.4660927595105,3.226035090014883,2,1,0.0,0.011967227400829105
2.290827972292918,-0.021242335548099067,10.11429787,4.415127627360196,0.008326753459737922,2.2647409191764205,19.212063790000002,33665.32040138,15911.316775346968,2.855200527501795,4798.344667436053,3.1934998641837264,3,1,0.0,0.011967227400829105
2.291577058301834,-0.0009353773638922647,9.97134113,4.35130081874237,0.013368005746653484,2.2652167622697035,19.801989550000002,33845.72040631001,15888.879641932735,1.8439853322628648,5528.600301960916,3.163914318039301,4,1,0.0,0.011967227400829105
2.3119516757375713,0.005309314822612876,10.96536541,4.742904241933072,0.004683888646565624,2.285806248917213,21.298754690000003,33858.66655111,16030.59129247687,2.8349395113295253,4374.343450580726,3.1001819682009746,5,1,0.0,0.011967227400829105
2.1000341608046913,0.029067736265643962,10.20176697,4.857905247641726,0.010863662604506514,2.085730820904516,19.0726881,23894.89251702,15934.343854834266,2.181301083510794,4562.691400340998,3.118941579700329,0,2,0.02040816326530612,0.01103947189099505
2.073892639575656,0.013831905784795762,9.20629025,4.4391354086119525,0.006440410981384773,2.059578418812131,18.23541451,23754.19063993,15939.560960035147,2.496242847315699,4098.83202458986,3.1510227739030348,1,2,0.02040816326530612,0.01103947189099505
2.0647361240056665,-0.01419987027386016,9.10813999,4.411285240813176,-0.00866857316275251,2.050125256744879,17.946007729999998,23944.98304888,15955.532877924135,2.874726495050967,3648.3165791754404,3.162473210432292,2,2,0.02040816326530612,0.01103947189099505
2.0701037126923354,0.002881830494625426,9.60910797,4.6418485755491865,0.004442891052724717,2.0556904100728883,17.531166550000002,23814.1157688,15964.308876674802,2.3022653787765384,4238.355813309273,3.1881239015390173,3,2,0.02040816326530612,0.01103947189099505
2.0568391615750863,0.0581603514231368,9.4946394,4.616131186810541,0.006455759129173346,2.0425926615574577,18.43865681,23600.15509761,15944.611600058179,2.778132662006427,4797.567019262458,3.1314748026456405,4,2,0.02040816326530612,0.01103947189099505
2.0933084821365098,0.022913855614576484,8.81464672,4.210868486523037,-0.0018239394165066255,2.078815041532178,17.42472267,24013.93098361,15927.694806513842,2.9450586669051644,4692.710494535116,3.205781620951587,5,2,0.02040816326530612,0.01103947189099505
